user_id,install_date,last_active_date,subscription_type,country,total_sessions,page_views,download_clicks,activation_status,days_active,pro_upgrade_date,plan_type,monthly_revenue,churned
102,6/12/2023,11/26/2023,Free,Australia,115,460,0,1,167,,,0,0
103,2/27/2023,9/28/2023,Free,France,100,200,0,1,213,,,0,0
104,12/9/2023,12/23/2023,Free,Germany,57,171,0,1,14,,,0,1
105,10/8/2023,10/31/2023,Free,India,142,284,1,1,23,,,0,1
106,5/16/2023,8/23/2023,Free,Australia,22,88,0,1,99,,,0,0
107,1/10/2023,1/1/2024,Free,UK,129,387,0,1,356,,,0,0
108,8/17/2023,8/24/2023,Free,USA,92,92,0,1,7,,,0,1
109,10/2/2023,11/10/2023,Free,UK,131,131,0,1,39,,,0,0
110,9/15/2023,10/1/2023,Free,UK,18,72,0,1,16,,,0,1
111,2/9/2023,12/9/2023,Free,USA,30,30,0,1,303,,,0,0
112,9/27/2023,10/12/2023,Free,Germany,87,87,0,1,15,,,0,1
113,1/24/2023,12/29/2023,Free,Australia,142,426,1,1,339,,,0,0
114,6/7/2023,8/3/2023,Free,France,25,125,0,1,57,,,0,0
115,9/3/2023,9/25/2023,Pro,India,68,272,1,1,22,9/25/2023,Basic,99,1
116,8/9/2023,10/16/2023,Free,France,7,35,0,1,68,,,0,0
117,8/12/2023,9/7/2023,Free,USA,123,615,0,1,26,,,0,1
118,12/8/2023,12/23/2023,Free,France,135,675,0,1,15,,,0,1
119,9/28/2023,12/4/2023,Pro,Germany,180,180,0,1,67,12/4/2023,Basic,49,0
120,3/22/2023,6/23/2023,Pro,UK,282,1410,0,1,93,6/23/2023,Basic,29,0
121,9/22/2023,11/6/2023,Free,Germany,45,90,0,1,45,,,0,0
122,11/23/2023,12/5/2023,Free,USA,3,9,0,1,12,,,0,1
123,12/12/2023,12/30/2023,Free,India,81,81,0,1,18,,,0,1
124,3/30/2023,4/19/2023,Free,France,99,99,0,1,20,,,0,1
125,5/8/2023,7/7/2023,Pro,Australia,175,875,0,1,60,7/7/2023,Enterprise,99,0
126,3/17/2023,7/12/2023,Free,Australia,71,142,0,1,117,,,0,0
127,1/12/2023,5/8/2023,Free,India,145,290,0,1,116,,,0,0
128,1/27/2023,3/20/2023,Free,Australia,148,444,0,1,52,,,0,0
129,2/20/2023,1/1/2024,Free,Canada,124,620,0,1,315,,,0,0
130,4/5/2023,8/1/2023,Free,Canada,102,510,0,1,118,,,0,0
131,3/13/2023,12/14/2023,Pro,Canada,137,137,0,1,276,12/14/2023,Enterprise,49,0
132,12/25/2023,12/28/2023,Free,Canada,35,140,0,1,3,,,0,1
133,5/20/2023,10/21/2023,Free,USA,54,162,0,1,154,,,0,0
134,11/12/2023,12/13/2023,Pro,France,230,920,0,1,31,12/13/2023,Enterprise,99,0
135,4/10/2023,7/9/2023,Free,Germany,39,78,0,1,90,,,0,0
136,1/24/2023,3/25/2023,Free,USA,73,73,1,1,60,,,0,0
137,8/1/2023,9/15/2023,Free,USA,36,72,0,1,45,,,0,0
138,7/23/2023,8/11/2023,Free,Australia,41,164,0,1,19,,,0,1
139,11/20/2023,11/26/2023,Free,Australia,52,104,0,1,6,,,0,1
140,10/15/2023,12/23/2023,Pro,Germany,235,470,0,1,69,12/23/2023,Basic,49,0
141,8/3/2023,11/27/2023,Free,Germany,30,60,1,1,116,,,0,0
142,10/21/2023,12/12/2023,Free,Canada,112,560,0,1,52,,,0,0
143,5/3/2023,6/17/2023,Free,Australia,114,228,1,1,45,,,0,0
144,6/30/2023,11/24/2023,Free,India,16,80,0,1,147,,,0,0
145,3/29/2023,8/9/2023,Free,Australia,59,236,0,1,133,,,0,0
146,6/19/2023,11/16/2023,Free,Australia,13,65,0,1,150,,,0,0
147,9/27/2023,11/24/2023,Free,Australia,72,360,0,1,58,,,0,0
148,4/6/2023,6/29/2023,Pro,Australia,13,52,0,1,84,6/29/2023,Enterprise,99,0
149,5/16/2023,7/1/2023,Free,India,44,176,0,1,46,,,0,0
150,2/28/2023,7/14/2023,Free,Australia,17,34,0,1,136,,,0,0
151,4/17/2023,5/12/2023,Free,Germany,114,570,1,1,25,,,0,1
152,4/12/2023,10/18/2023,Free,Australia,33,99,0,1,189,,,0,0
153,5/30/2023,10/29/2023,Free,UK,121,484,0,1,152,,,0,0
154,5/12/2023,12/7/2023,Free,USA,17,85,0,1,209,,,0,0
155,1/26/2023,1/26/2023,Pro,Germany,62,186,0,1,0,1/26/2023,Standard,49,1
156,10/30/2023,12/28/2023,Free,USA,148,444,0,1,59,,,0,0
157,6/27/2023,11/16/2023,Free,Canada,50,200,0,1,142,,,0,0
158,5/21/2023,7/1/2023,Free,India,50,200,0,1,41,,,0,0
159,6/21/2023,10/20/2023,Free,Australia,59,236,0,1,121,,,0,0
160,6/4/2023,7/6/2023,Free,Germany,71,355,1,1,32,,,0,0
161,1/4/2023,5/13/2023,Free,Australia,100,500,0,1,129,,,0,0
162,1/1/2023,11/9/2023,Free,UK,86,344,0,1,312,,,0,0
163,1/10/2023,7/3/2023,Pro,France,29,29,0,1,174,7/3/2023,Standard,29,0
164,11/16/2023,12/14/2023,Free,India,1,5,1,0,28,,,0,1
165,3/10/2023,11/3/2023,Free,Germany,72,288,1,1,238,,,0,0
166,11/5/2023,11/11/2023,Free,UK,83,332,0,1,6,,,0,1
167,9/2/2023,10/22/2023,Free,India,145,725,0,1,50,,,0,0
168,6/24/2023,11/30/2023,Free,France,132,396,0,1,159,,,0,0
169,5/26/2023,7/6/2023,Free,India,46,92,0,1,41,,,0,0
170,6/8/2023,7/16/2023,Free,India,63,252,0,1,38,,,0,0
171,9/8/2023,10/16/2023,Free,UK,32,128,0,1,38,,,0,0
172,11/1/2023,11/16/2023,Free,USA,6,18,1,1,15,,,0,1
173,4/23/2023,5/19/2023,Free,Germany,102,204,0,1,26,,,0,1
174,6/5/2023,11/2/2023,Pro,Germany,259,1295,0,1,150,11/2/2023,Enterprise,29,0
175,7/2/2023,10/25/2023,Free,Germany,7,7,1,1,115,,,0,0
176,11/3/2023,11/28/2023,Free,India,92,368,0,1,25,,,0,1
177,10/16/2023,10/23/2023,Free,Germany,92,92,0,1,7,,,0,1
178,10/1/2023,10/9/2023,Free,UK,129,516,0,1,8,,,0,1
179,6/16/2023,7/18/2023,Pro,India,181,181,1,1,32,7/18/2023,Enterprise,49,0
180,7/8/2023,11/4/2023,Free,India,91,455,0,1,119,,,0,0
181,8/17/2023,12/9/2023,Free,USA,53,212,0,1,114,,,0,0
182,2/20/2023,3/28/2023,Pro,Germany,32,128,0,1,36,3/28/2023,Enterprise,49,0
183,2/10/2023,6/20/2023,Free,Australia,28,112,0,1,130,,,0,0
184,6/5/2023,10/21/2023,Free,India,145,290,0,1,138,,,0,0
185,11/30/2023,12/21/2023,Free,Canada,98,490,0,1,21,,,0,1
186,6/28/2023,11/7/2023,Free,France,6,24,0,1,132,,,0,0
187,5/31/2023,11/13/2023,Free,Australia,19,95,0,1,166,,,0,0
188,5/21/2023,10/24/2023,Pro,France,213,213,0,1,156,10/24/2023,Basic,49,0
189,10/2/2023,11/30/2023,Pro,France,300,1500,0,1,59,11/30/2023,Enterprise,49,0
190,3/21/2023,5/17/2023,Free,USA,26,26,0,1,57,,,0,0
191,10/9/2023,11/13/2023,Free,USA,88,352,1,1,35,,,0,0
192,1/25/2023,11/10/2023,Free,UK,138,138,0,1,289,,,0,0
193,10/1/2023,12/7/2023,Free,India,17,17,0,1,67,,,0,0
194,1/3/2023,10/30/2023,Pro,India,270,810,0,1,300,10/30/2023,Enterprise,99,0
195,6/20/2023,12/13/2023,Pro,India,280,560,0,1,176,12/13/2023,Enterprise,29,0
196,8/4/2023,11/20/2023,Pro,USA,238,238,1,1,108,11/20/2023,Enterprise,49,0
197,11/24/2023,12/30/2023,Free,USA,129,516,0,1,36,,,0,0
198,6/17/2023,11/8/2023,Free,Australia,72,360,0,1,144,,,0,0
199,9/8/2023,11/14/2023,Free,Australia,112,112,0,1,67,,,0,0
200,9/1/2023,9/3/2023,Free,UK,105,420,0,1,2,,,0,1
201,10/20/2023,12/20/2023,Pro,India,258,258,0,1,61,12/20/2023,Standard,29,0
202,4/3/2023,10/3/2023,Free,USA,148,296,0,1,183,,,0,0
203,8/2/2023,10/20/2023,Free,UK,2,8,0,0,79,,,0,0
204,6/29/2023,12/16/2023,Free,USA,127,127,0,1,170,,,0,0
205,10/18/2023,12/8/2023,Free,UK,131,393,0,1,51,,,0,0
206,1/18/2023,10/23/2023,Free,Canada,117,234,0,1,278,,,0,0
207,6/14/2023,8/22/2023,Free,India,81,405,0,1,69,,,0,0
208,1/8/2023,4/26/2023,Free,Australia,88,352,1,1,108,,,0,0
209,5/14/2023,6/6/2023,Free,France,21,42,0,1,23,,,0,1
210,12/5/2023,1/1/2024,Free,UK,94,470,0,1,27,,,0,1
211,1/13/2023,9/14/2023,Pro,USA,129,645,0,1,244,9/14/2023,Enterprise,29,0
212,10/28/2023,11/9/2023,Pro,France,114,228,0,1,12,11/9/2023,Standard,29,1
213,7/15/2023,10/22/2023,Free,Australia,49,49,0,1,99,,,0,0
214,9/9/2023,11/13/2023,Free,UK,130,650,0,1,65,,,0,0
215,11/19/2023,12/15/2023,Free,USA,31,155,0,1,26,,,0,1
216,10/19/2023,11/19/2023,Pro,Germany,102,204,0,1,31,11/19/2023,Standard,99,0
217,5/31/2023,8/31/2023,Free,UK,17,51,0,1,92,,,0,0
218,1/10/2023,5/12/2023,Pro,Canada,187,748,1,1,122,5/12/2023,Basic,49,0
219,4/28/2023,12/8/2023,Pro,Canada,175,700,0,1,224,12/8/2023,Enterprise,29,0
220,7/7/2023,10/29/2023,Free,Germany,149,745,0,1,114,,,0,0
221,2/14/2023,4/21/2023,Free,USA,8,40,0,1,66,,,0,0
222,2/3/2023,11/8/2023,Free,USA,145,145,0,1,278,,,0,0
223,12/10/2023,12/31/2023,Free,France,34,68,0,1,21,,,0,1
224,12/12/2023,12/31/2023,Pro,UK,208,624,0,1,19,12/31/2023,Enterprise,49,1
225,12/29/2023,1/1/2024,Pro,Australia,81,81,0,1,3,1/1/2024,Basic,99,1
226,5/25/2023,11/26/2023,Free,USA,106,212,0,1,185,,,0,0
227,3/21/2023,7/13/2023,Free,Germany,21,84,0,1,114,,,0,0
228,7/5/2023,10/31/2023,Free,Australia,16,80,1,1,118,,,0,0
229,9/13/2023,9/14/2023,Pro,USA,31,62,1,1,1,9/14/2023,Basic,99,1
230,1/15/2023,5/9/2023,Free,Germany,28,56,0,1,114,,,0,0
231,10/17/2023,12/27/2023,Free,UK,91,455,0,1,71,,,0,0
232,12/13/2023,12/27/2023,Pro,Canada,118,354,0,1,14,12/27/2023,Enterprise,49,1
233,1/27/2023,6/29/2023,Free,India,53,265,0,1,153,,,0,0
234,4/21/2023,8/1/2023,Free,USA,134,402,0,1,102,,,0,0
235,4/20/2023,12/5/2023,Free,India,126,252,0,1,229,,,0,0
236,11/30/2023,12/16/2023,Pro,France,68,272,0,1,16,12/16/2023,Standard,49,1
237,11/27/2023,12/19/2023,Free,USA,117,117,0,1,22,,,0,1
238,4/23/2023,9/10/2023,Free,Australia,50,150,0,1,140,,,0,0
239,6/15/2023,12/28/2023,Free,Germany,91,182,0,1,196,,,0,0
240,6/26/2023,7/8/2023,Free,India,148,148,0,1,12,,,0,1
241,5/1/2023,11/1/2023,Free,France,150,600,0,1,184,,,0,0
242,9/24/2023,12/15/2023,Free,Canada,48,192,1,1,82,,,0,0
243,7/22/2023,8/12/2023,Free,USA,104,416,0,1,21,,,0,1
244,12/14/2023,12/22/2023,Free,India,2,6,0,0,8,,,0,1
245,5/24/2023,8/29/2023,Pro,India,246,738,0,1,97,8/29/2023,Standard,49,0
246,5/3/2023,10/31/2023,Free,Canada,112,336,0,1,181,,,0,0
247,4/24/2023,12/19/2023,Free,USA,81,81,0,1,239,,,0,0
248,3/23/2023,12/11/2023,Free,India,16,32,0,1,263,,,0,0
249,2/8/2023,6/4/2023,Free,UK,103,515,0,1,116,,,0,0
250,12/12/2023,1/1/2024,Free,Australia,124,248,0,1,20,,,0,1
251,4/23/2023,9/16/2023,Pro,UK,117,351,0,1,146,9/16/2023,Basic,49,0
252,8/27/2023,10/12/2023,Free,UK,109,436,0,1,46,,,0,0
253,9/23/2023,12/27/2023,Free,Canada,103,309,0,1,95,,,0,0
254,10/12/2023,10/25/2023,Free,India,127,508,0,1,13,,,0,1
255,12/16/2023,12/22/2023,Free,Germany,18,72,0,1,6,,,0,1
256,6/22/2023,7/7/2023,Free,France,51,51,0,1,15,,,0,1
257,7/5/2023,9/13/2023,Free,France,101,101,0,1,70,,,0,0
258,3/4/2023,12/16/2023,Free,India,117,117,0,1,287,,,0,0
259,10/28/2023,11/16/2023,Free,Germany,125,625,1,1,19,,,0,1
260,12/8/2023,12/18/2023,Free,Australia,113,339,0,1,10,,,0,1
261,2/19/2023,10/4/2023,Free,India,38,76,0,1,227,,,0,0
262,5/18/2023,7/25/2023,Free,France,29,145,0,1,68,,,0,0
263,7/26/2023,12/25/2023,Free,France,113,339,0,1,152,,,0,0
264,3/25/2023,9/1/2023,Free,Australia,31,155,0,1,160,,,0,0
265,7/18/2023,10/24/2023,Free,Germany,38,190,1,1,98,,,0,0
266,10/4/2023,10/30/2023,Free,Australia,52,208,0,1,26,,,0,1
267,4/10/2023,7/4/2023,Free,USA,115,460,1,1,85,,,0,0
268,9/26/2023,12/5/2023,Free,France,88,176,0,1,70,,,0,0
269,5/26/2023,8/6/2023,Free,UK,42,210,0,1,72,,,0,0
270,9/17/2023,10/15/2023,Free,USA,119,476,0,1,28,,,0,1
271,7/9/2023,10/6/2023,Free,France,59,295,0,1,89,,,0,0
272,11/2/2023,11/21/2023,Free,Germany,10,40,0,1,19,,,0,1
273,1/10/2023,7/15/2023,Free,India,94,470,0,1,186,,,0,0
274,2/8/2023,12/21/2023,Free,Australia,26,104,0,1,316,,,0,0
275,9/26/2023,10/14/2023,Free,UK,76,76,0,1,18,,,0,1
276,9/29/2023,12/20/2023,Free,India,150,600,0,1,82,,,0,0
277,9/29/2023,10/23/2023,Free,Canada,12,12,0,1,24,,,0,1
278,11/11/2023,12/6/2023,Free,India,93,93,0,1,25,,,0,1
279,10/15/2023,12/4/2023,Free,Australia,33,66,0,1,50,,,0,0
280,7/2/2023,12/16/2023,Pro,Canada,173,173,0,1,167,12/16/2023,Standard,49,0
281,5/24/2023,8/22/2023,Pro,Canada,69,138,0,1,90,8/22/2023,Basic,49,0
282,6/11/2023,9/10/2023,Pro,France,114,570,0,1,91,9/10/2023,Enterprise,99,0
283,4/5/2023,8/29/2023,Pro,France,124,124,0,1,146,8/29/2023,Enterprise,29,0
284,3/21/2023,12/21/2023,Free,India,82,328,0,1,275,,,0,0
285,6/24/2023,11/9/2023,Free,Germany,46,138,0,1,138,,,0,0
286,9/27/2023,12/29/2023,Free,UK,34,68,1,1,93,,,0,0
287,9/30/2023,10/16/2023,Free,USA,121,363,0,1,16,,,0,1
288,8/15/2023,8/28/2023,Pro,India,151,302,0,1,13,8/28/2023,Enterprise,49,1
289,3/23/2023,4/24/2023,Free,Australia,144,144,0,1,32,,,0,0
290,12/27/2023,12/31/2023,Free,USA,109,109,0,1,4,,,0,1
291,6/23/2023,10/18/2023,Free,France,141,282,0,1,117,,,0,0
292,1/19/2023,3/25/2023,Free,India,126,378,0,1,65,,,0,0
293,3/27/2023,9/30/2023,Free,France,114,342,0,1,187,,,0,0
294,12/12/2023,12/14/2023,Free,USA,96,480,0,1,2,,,0,1
295,1/18/2023,1/26/2023,Pro,Australia,43,129,0,1,8,1/26/2023,Enterprise,99,1
296,5/30/2023,12/14/2023,Pro,Germany,115,345,0,1,198,12/14/2023,Enterprise,99,0
297,6/26/2023,11/19/2023,Pro,Australia,286,1430,1,1,146,11/19/2023,Basic,49,0
298,10/29/2023,11/10/2023,Free,France,23,23,0,1,12,,,0,1
299,9/24/2023,10/22/2023,Free,Canada,122,610,1,1,28,,,0,1
300,7/5/2023,12/24/2023,Free,UK,138,552,1,1,172,,,0,0
301,1/24/2023,7/9/2023,Free,Germany,24,24,0,1,166,,,0,0
302,7/15/2023,10/12/2023,Pro,Canada,287,1435,1,1,89,10/12/2023,Enterprise,99,0
303,12/25/2023,1/1/2024,Free,USA,68,204,0,1,7,,,0,1
304,7/20/2023,8/16/2023,Free,India,88,176,0,1,27,,,0,1
305,6/29/2023,7/10/2023,Pro,Australia,269,807,0,1,11,7/10/2023,Basic,49,1
306,5/30/2023,12/6/2023,Free,France,14,56,0,1,190,,,0,0
307,12/16/2023,1/1/2024,Free,Australia,135,405,0,1,16,,,0,1
308,5/7/2023,9/17/2023,Free,UK,61,305,0,1,133,,,0,0
309,12/20/2023,12/31/2023,Pro,Australia,186,372,1,1,11,12/31/2023,Standard,29,1
310,10/27/2023,11/20/2023,Free,India,5,25,0,1,24,,,0,1
311,7/13/2023,11/2/2023,Free,Canada,26,52,0,1,112,,,0,0
312,2/5/2023,2/20/2023,Free,USA,86,172,0,1,15,,,0,1
313,4/17/2023,7/25/2023,Free,France,72,72,0,1,99,,,0,0
314,12/31/2023,12/31/2023,Free,Germany,35,175,1,1,0,,,0,1
315,11/2/2023,12/31/2023,Free,Australia,46,92,0,1,59,,,0,0
316,6/23/2023,12/4/2023,Free,UK,10,50,0,1,164,,,0,0
317,4/13/2023,8/22/2023,Free,USA,103,309,1,1,131,,,0,0
318,8/25/2023,12/24/2023,Free,Germany,7,14,0,1,121,,,0,0
319,5/23/2023,10/5/2023,Free,Germany,72,144,1,1,135,,,0,0
320,5/2/2023,8/27/2023,Free,India,144,144,0,1,117,,,0,0
321,11/14/2023,12/3/2023,Free,Australia,133,665,0,1,19,,,0,1
322,12/18/2023,12/26/2023,Free,France,103,309,0,1,8,,,0,1
323,6/14/2023,12/8/2023,Free,Canada,67,268,0,1,177,,,0,0
324,8/16/2023,9/8/2023,Free,Canada,78,156,1,1,23,,,0,1
325,11/27/2023,11/30/2023,Free,Canada,65,65,0,1,3,,,0,1
326,4/8/2023,7/30/2023,Free,USA,135,675,0,1,113,,,0,0
327,5/7/2023,9/15/2023,Free,France,87,435,0,1,131,,,0,0
328,2/9/2023,11/22/2023,Free,UK,140,280,0,1,286,,,0,0
329,10/26/2023,11/11/2023,Free,India,145,145,0,1,16,,,0,1
330,10/24/2023,11/12/2023,Pro,Canada,284,1136,0,1,19,11/12/2023,Basic,99,1
331,3/11/2023,3/20/2023,Free,France,103,515,0,1,9,,,0,1
332,7/2/2023,11/23/2023,Free,India,66,330,0,1,144,,,0,0
333,9/5/2023,12/2/2023,Free,UK,70,140,1,1,88,,,0,0
334,2/3/2023,6/24/2023,Pro,UK,131,393,0,1,141,6/24/2023,Standard,99,0
335,10/2/2023,12/13/2023,Free,India,69,276,0,1,72,,,0,0
336,10/6/2023,12/7/2023,Free,Germany,137,137,1,1,62,,,0,0
337,4/7/2023,11/25/2023,Free,France,116,232,0,1,232,,,0,0
338,5/26/2023,11/29/2023,Free,India,76,76,0,1,187,,,0,0
339,2/16/2023,11/20/2023,Free,India,4,12,0,1,277,,,0,0
340,4/18/2023,4/22/2023,Pro,USA,201,603,0,1,4,4/22/2023,Basic,49,1
341,8/7/2023,10/23/2023,Free,Canada,34,136,1,1,77,,,0,0
342,7/6/2023,12/5/2023,Free,Germany,47,188,0,1,152,,,0,0
343,7/17/2023,12/9/2023,Free,UK,101,202,0,1,145,,,0,0
344,3/21/2023,12/14/2023,Free,UK,59,118,0,1,268,,,0,0
345,4/19/2023,9/8/2023,Pro,USA,197,197,0,1,142,9/8/2023,Basic,49,0
346,12/27/2023,1/1/2024,Free,USA,68,68,0,1,5,,,0,1
